Région administrative,Département,Commune,Identifiant Muséofile,Nom officiel du musée,id_musee,date de création,Adresse,Adresse_2,Code Postal,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation,imageLink
Île-de-France,Paris,Paris,M5044,musée Rodin,(wd:Q650519 46),1916-01-01,77 rue de Varenne,"77 rue de Varenne, 75007",75007,www.musee-rodin.fr/,48.855868,2.31598,7510703,"48.855868, 2.31598",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/L%27h%C3%B4tel%20Biron%20%28mus%C3%A9e%20Rodin%29%20%C3%A0%20Paris%2C%2013%20juin%202021%2001.jpg
Île-de-France,Seine-et-Marne,Coupvray,M0373,musée Louis-Braille,(wd:Q30303348 47),,13 rue Louis Braille,"13 rue Louis Braille, 77400",77400,museelouisbraille.com/,48.867372,2.712931,7713201,"48.867372, 2.712931",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Braille%20house07.JPG
Île-de-France,Seine-et-Marne,Crécy-la-Chapelle,M0374,musée municipal de Crécy-la-Chapelle,(wd:Q23599965 48),,s'adresser à la mairie,77580,77580,,48.85813263142596,2.908441509296712,7714201,"48.85813263142596, 2.908441509296712",2003-02-01,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
Île-de-France,Seine-et-Marne,Melun,M0379,musée municipal de Melun,(wd:Q23600488 49),,5 rue du Franc Mûrier,"5 rue du Franc Mûrier, 77000",77000,www.ville-melun.fr/temps-libre/musee-d-art-et-d-histoire-de-la-ville-de-melun/232-presentation-du-musee,48.536398,2.658972,7728802,"48.536398, 2.658972",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Melun%20musee.JPG
Île-de-France,Seine-et-Marne,Saint-Cyr-sur-Morin,M0384,musée départemental de la Seine-et-Marne,(wd:Q3330528 50),,17 avenue de la Ferté-sous-Jouarre,"17 avenue de la Ferté-sous-Jouarre, 77750",77750,www.musee-seine-et-marne.fr/fr,48.90803,3.18169,7740501,"48.90803, 3.18169",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/L3531%20-%20Saint-Cyr-sur-Morin%20-%20Mus%C3%A9e%20d%C3%A9partemental%20de%20la%20Seine-et-Marne.jpg
Île-de-France,Seine-Saint-Denis,Le Bourget,M5024,musée de l'Air et de l'Espace,(wd:Q1189955 51),,BP 173,"BP 173, 93352",93352,www.museeairespace.fr/,48.94681950649236,2.4355624358692265,9301301,"48.94681950649236, 2.4355624358692265",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Caudron%20G4%20Mus%C3%A9e%20Air%20et%20Espace%20du%20Bourget.jpg
Île-de-France,Seine-Saint-Denis,Saint-Denis,M0422,musée d'art et d'histoire de Saint-Denis,(wd:Q3329627 52),,22 bis rue Gabriel Peri,"22 bis rue Gabriel Peri, 93200",93200,musee-saint-denis.com/,48.932336,2.355796,9306601,"48.932336, 2.355796",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Denis%20%2893%29%20Chapelle%20du%20Carmel.JPG
Île-de-France,Yvelines,Jouy-en-Josas,M0388,musée de la toile de Jouy,(wd:Q3330076 53),,54 rue Charles de Gaulle,"54 rue Charles de Gaulle, 78350",78350,www.museedelatoiledejouy.fr/,48.768986,2.153216,7832201,"48.768986, 2.153216",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Jouy-en-Josas%20Ch%C3%A2teau%20%C3%89glantine.jpg
Île-de-France,Yvelines,Maule,M0391,musée Victor Aubert,(wd:Q23600423 54),,24 Rue Quincampoix,"24 Rue Quincampoix, 78580",78580,museeaubertmaule.free.fr/,48.908246,1.847178,7838001,"48.908246, 1.847178",2003-02-01,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
Île-de-France,Yvelines,Rambouillet,M0395,Rambolitrain,(wd:Q3418414 55),,4 place Jeanne d'Arc,"4 place Jeanne d'Arc, 78120",78120,www.rambolitrain.com/,48.646025,1.823892,7851702,"48.646025, 1.823892",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Rambolitrain-fa%C3%A7ade.JPG
Île-de-France,Yvelines,Saint-Germain-en-Laye,M0396,musée départemental Maurice-Denis,(wd:Q3330506 56),,2bis rue Maurice Denis,"2bis rue Maurice Denis, 78100",78100,www.musee-mauricedenis.fr/,48.892495,2.087541,7855101,"48.892495, 2.087541",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Ancien%20h%C3%B4pital%20Maintenon%2005961.jpg
Île-de-France,Yvelines,Saint-Rémy-lès-Chevreuse,M0399,Fondation de Coubertin,(wd:Q3075615 57),,Conservation des collections,"Conservation des collections, 78470",78470,/www.coubertin.fr/,48.706544,2.069096,7857501,"48.706544, 2.069096",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20ch%C3%A2teau%20de%20Coubertin%20%28photo%20Montalbetti%29.JPG
Île-de-France,Essonne,Bièvres,M0401,musée français de la photographie,(wd:Q3330577 58),,78 rue de Paris,"78 rue de Paris, 91570",91570,photographie.essonne.fr/,48.762826,2.225102,9106401,"48.762826, 2.225102",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Bi%C3%A8vres%20Mus%C3%A9e%20fran%C3%A7ais%20de%20la%20photographie%2001.jpg
Île-de-France,Essonne,Brunoy,M0403,musée Robert-Dubois-Corneau,(wd:Q3329327 59),,16 rue du Réveillon,"16 rue du Réveillon, 91800",91800,www.brunoy.fr/vos-demarches-services/vie-culturelle-et-animations/musee/,48.700308,2.500293,9111401,"48.700308, 2.500293",2003-02-01,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
Île-de-France,Hauts-de-Seine,Courbevoie,M0410,musée Roybet-Fould,(wd:Q3329330 60),,Parc de Bécon 178 Boulevard Saint Denis,"Parc de Bécon 178 Boulevard Saint Denis, 92400",92400,www.museeroybetfould.fr/,48.900998,2.271279,9202601,"48.900998, 2.271279",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Pavillon%20de%20la%20Su%C3%A8de%20et%20de%20la%20Norv%C3%A8ge%2C%20Courbevoie%20004.JPG
Île-de-France,Hauts-de-Seine,Rueil-Malmaison,M0415,musée d'Histoire locale de Rueil-Malmaison,(wd:Q3329678 61),,Place du 11 novembre,"Place du 11 novembre, 92500",92500,www.villederueil.fr/fr/musee-dhistoire-locale,48.877678,2.18183,9206303,"48.877678, 2.18183",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Rueil-Malmaison%20Mairie.jpg
Île-de-France,Hauts-de-Seine,Suresnes,M0418,musée d'histoire urbaine et sociale de Suresnes,(wd:Q28033642 62),,1 place de la gare de Suresnes-Longchamp,"1 place de la gare de Suresnes-Longchamp, 92150",92150,webmuseo.com/ws/musee-suresnes/app/report/index.html,48.868303,2.221944,9207301,"48.868303, 2.221944",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/2013%20MUS%20Musee%20Urbanisme%20de%20Suresnes.JPG
