Région administrative,Département,Commune,Identifiant Muséofile,Nom officiel du musée,date de création,Adresse,Adresse_2,Code Postal,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation
Île-de-France,Paris,Paris,M5021,musée des Arts décoratifs,1905-05-29,107 rue de Rivoli,"107 rue de Rivoli, 75001",75001,madparis.fr/francais,48.863218,2.3333,7510102,"48.863218, 2.3333",2002-01-06
Île-de-France,Paris,Paris,M5031,Musée du Louvre,1793-08-10,Place du Carrousel,"Place du Carrousel, 75001",75001,www.louvre.fr/,48.86079459806906,2.3378156596817785,7510106,"48.86079459806906, 2.3378156596817785",2002-01-06
Île-de-France,Paris,Paris,M0364,musée d'art et d'histoire du judaïsme,1998-01-01,71 rue du Temple,"71 rue du Temple, 75003",75003,www.mahj.org/,48.86095,2.355608,7510303,"48.86095, 2.355608",2003-02-01
Île-de-France,Paris,Paris,M5066,musée de la Monnaie de Paris,1833-01-01,11 quai de Conti,"11 quai de Conti, 75006",75006,www.monnaiedeparis.fr/,48.857003,2.338699,7510609,"48.857003, 2.338699",2002-01-06
Île-de-France,Paris,Paris,M5060,musée d'Orsay,1986-01-01,1 rue de Bellechasse,"1 rue de Bellechasse, 75007",75007,www.musee-orsay.fr/,48.859157,2.323672,7510705,"48.859157, 2.323672",2002-01-06
Île-de-France,Seine-et-Marne,Fontainebleau,M0375,musée napoléonien d'art et d'histoire militaires,,88 rue St Honoré,"88 rue St Honoré, 77300",77300,www.fontainebleau.fr/engagee/fontainebleau-avance/un-batiment-renove-et-un-lieu-totalement-repense-251.html,48.406893,2.698781,7718602,"48.406893, 2.698781",2003-02-01
Île-de-France,Seine-et-Marne,Le Mée-sur-Seine,M0377,musée Henri-Chapu,,937 rue Henri Chapu,"937 rue Henri Chapu, 77350",77350,le-mee-sur-seine.fr/le-mee-village/une-terre-dartistes/,48.534859,2.635235,7728501,"48.534859, 2.635235",2003-02-01
Île-de-France,Val d'Oise,Auvers-sur-Oise,M1213,Musée Daubigny,,Manoir des Colombières,"Manoir des Colombières, 95430",95430,museedaubigny.com,49.071480153019486,2.171783250055156,,"49.071480153019486, 2.171783250055156",2020-12-10
Île-de-France,Val d'Oise,Ecouen,M5012,musée national de la Renaissance,,Château d'Ecouen,"Château d'Ecouen, 95440",95440,musee-renaissance.fr/,49.015862,2.378424,9520501,"49.015862, 2.378424",2002-01-06
Île-de-France,Val d'Oise,Louvres,M0436,Archéa,,56 rue de Paris,"56 rue de Paris, 95380",95380,archea.roissypaysdefrance.fr/,49.041117,2.50695,9535101,"49.041117, 2.50695",2003-02-01
Île-de-France,Val-de-Marne,Fresnes,M0426,écomusée de Fresnes,,41 rue Maurice Tenine,"41 rue Maurice Tenine, 94260",94260,www.fresnes94.fr/a-votre-service/culture-sports-et-loisirs/equipements-culturels/ecomusee-du-val-de-bievre/,48.75525,2.326389,9403401,"48.75525, 2.326389",2003-02-01
Île-de-France,Val-de-Marne,Maisons-Alfort,M5064,musée Fragonard de l'École vétérinaire de Maisons-Alfort,,7 avenue du Général de Gaulle,"7 avenue du Général de Gaulle, 94704",94704,www.vet-alfort.fr/domaine-d-alfort/musee-fragonard/infos-pratiques,48.81278282657873,2.4233629652344084,9404601,"48.81278282657873, 2.4233629652344084",2006-08-29
Île-de-France,Val-de-Marne,Nogent-sur-Marne,M0427,musée de Nogent-sur-Marne,,36 boulevard Gallieni,"36 boulevard Gallieni, 94130",94130,museenogentsurmarne.net/,48.84026,2.484292,9405201,"48.84026, 2.484292",2003-02-01
Île-de-France,Val-de-Marne,Vitry-sur-Seine,M0431,musée d'Art contemporain du Val-de-Marne,,Place de la Libération,"Place de la Libération, 94400",94400,www.macval.fr/,48.792821,2.387072,9408101,"48.792821, 2.387072",2003-02-01
Île-de-France,Yvelines,Magny-les-Hameaux,M5045,musée national de Port-Royal des Champs,,Route des Granges,"Route des Granges, 78114",78114,www.port-royal-des-champs.eu/,48.748437,2.01579,7835601,"48.748437, 2.01579",2002-01-06
Île-de-France,Yvelines,Mantes-la-Jolie,M0389,musée de l'Hôtel-Dieu,,1 rue Thiers,"1 rue Thiers, 78200",78200,www.manteslajolie.fr/MUSEE%20DE%20LHOTELDIEU,48.990874,1.719901,7836101,"48.990874, 1.719901",2003-02-01
Île-de-France,Yvelines,Marly-le-Roi-Louveciennes,M0390,musée du domaine royal de Marly,,1 Grille royale - Parc de Marly,"1 Grille royale - Parc de Marly, 78160",78160,www.musee-promenade.fr,48.859572,2.109482,7835001,"48.859572, 2.109482",2003-02-01
Île-de-France,Yvelines,Médan,M1186,maison d'Émile Zola,,26 Rue Pasteur,"26 Rue Pasteur, 78670",78670,www.maisonzola-museedreyfus.com/,48.952745,1.995035,7838401,"48.952745, 1.995035",2009-11-19
Île-de-France,Yvelines,Saint-Germain-en-Laye,M5001,musée d'Archéologie nationale,,Place Charles de Gaulle,"Place Charles de Gaulle, 78100",78100,musee-archeologienationale.fr/,48.897879,2.094936,7855103,"48.897879, 2.094936",2002-01-06
Île-de-France,Yvelines,Versailles,M0400,musée Lambinet,,54 boulevard de la Reine,"54 boulevard de la Reine, 78000",78000,www.versailles.fr/museelambinet/,48.808966,2.130624,7864601,"48.808966, 2.130624",2003-02-01
Île-de-France,Essonne,Etampes,M0405,musée municipal d'Étampes,,Hôtel de ville,"Hôtel de ville, 91150",91150,www.mairie-etampes.fr/le-musee/,48.434307,2.161909,9122301,"48.434307, 2.161909",2003-02-01
Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,M0407,musée départemental Albert-Kahn,,14 rue du Port,"14 rue du Port, 92100",92100,albert-kahn.hauts-de-seine.fr/,48.841354,2.227488,9201203,"48.841354, 2.227488",2003-02-01
Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,M0408,musée-jardin Paul-Landowski,,14 rue Max-Blondat,"14 rue Max-Blondat, 92100",92100,www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-landowski,48.844261,2.246847,9201202,"48.844261, 2.246847",2003-02-01
Île-de-France,Hauts-de-Seine,Meudon,M0412,musée d'art et d'histoire de Meudon,,11 rue des Pierres,"11 rue des Pierres, 92190",92190,musee.meudon.fr/,48.806412,2.234894,9204801,"48.806412, 2.234894",2003-02-01
Île-de-France,Hauts-de-Seine,Saint-Cloud,M1219,musée du Grand Siècle,,Caserne Sully,"Caserne Sully, 92210",92210,https://museedugrandsiecle.hauts-de-seine.fr/,48.83901,2.21992,,"48.83901, 2.21992",2022-12-20
Île-de-France,Paris,Paris,M1102,maison de Balzac,1949-01-01,47 rue Raynouard,"47 rue Raynouard, 75016",75016,www.maisondebalzac.paris.fr/,48.855398,2.280805,7511616,"48.855398, 2.280805",2004-07-08
Île-de-France,Paris,Paris,M1109,musée du Général Leclerc de Hauteclocque et de la Libération de Paris - musée Jean-Moulin,1994-01-01,23 allée de la 2ème Division Blindée,"23 allée de la 2ème Division Blindée, 75015",75015,www.museeliberation-leclerc-moulin.paris.fr/,48.840614,2.319773,7511503,"48.840614, 2.319773",2004-07-08
Île-de-France,Paris,Paris,M5071,musée des Plans-reliefs,1942-01-01,129 rue de Grenelle,"129 rue de Grenelle, 75007",75007,www.museedesplansreliefs.culture.fr/,48.858219,2.312885,7510702,"48.858219, 2.312885",2002-01-06
Île-de-France,Paris,Paris,M5084,musée de l'Histoire de l'immigration,2007-01-01,293 avenue Daumesnil,"293 avenue Daumesnil, 75012",75012,www.histoire-immigration.fr/,48.836753,2.390394,7511202,"48.836753, 2.390394",2006-11-17
Île-de-France,Paris,Paris,M1115,musée Zadkine,1982-01-01,100 bis rue d'Assas,"100 bis rue d'Assas, 75006",75006,www.zadkine.paris.fr/,48.842793,2.333457,7510608,"48.842793, 2.333457",2004-07-08
Île-de-France,Paris,Paris,M5026,musée national de la Marine,1827-01-01,17 place du Trocadéro,"17 place du Trocadéro, 75016",75016,www.musee-marine.fr/,48.862049,2.287502,7511618,"48.862049, 2.287502",2002-01-06
Île-de-France,Paris,Paris,M5039,musée national Jean-Jacques-Henner,1924-01-01,43 avenue de Villiers,"43 avenue de Villiers, 75017",75017,www.musee-henner.fr/,48.883045,2.307689,7511701,"48.883045, 2.307689",2002-01-06
Île-de-France,Paris,Paris,M1076,musée de l'Assistance publique - Hôpitaux de Paris,1934-01-01,10 rue des Fossés-Saint-Marcel,"10 rue des Fossés-Saint-Marcel, 75005",75005,www.aphp.fr/musee,48.838805,2.356007,7510517,"48.838805, 2.356007",2002-10-02
Île-de-France,Paris,Paris,M5003,musée de Cluny,1844-03-17,6 place Paul Painlevé,"6 place Paul Painlevé, 75005",75005,www.musee-moyenage.fr/,48.850437,2.344553,7510501,"48.850437, 2.344553",2002-01-06
Île-de-France,Paris,Paris,M7003,Muséum national d'histoire naturelle,1793-06-10,2 rue Buffon,"2 rue Buffon, 75005",75005,www.mnhn.fr/fr/collections/ensembles-collections/vertebres/anatomie-comparee,48.842168,2.359933,7510508,"48.842168, 2.359933",2002-01-06
Île-de-France,Paris,Paris,M5044,musée Rodin,1916-01-01,77 rue de Varenne,"77 rue de Varenne, 75007",75007,www.musee-rodin.fr/,48.855868,2.31598,7510703,"48.855868, 2.31598",2002-01-06
